pose: (0.40,-0.25,-0.84)	thetad = -0.85	e = -0.00, az = -0.01

pose: (0.41,-0.26,-0.85)	thetad = -0.85	e = -0.00, az = -0.01

pose: (0.42,-0.26,-0.85)	thetad = -0.85	e = -0.01, az = -0.01

pose: (0.43,-0.27,-0.85)	thetad = -0.85	e = -0.01, az = -0.02

pose: (0.43,-0.27,-0.85)	thetad = -0.86	e = -0.01, az = -0.02

pose: (0.44,-0.28,-0.85)	thetad = -0.86	e = -0.00, az = -0.01

pose: (0.45,-0.28,-0.86)	thetad = -0.86	e = -0.00, az = -0.01

pose: (0.46,-0.29,-0.86)	thetad = -0.86	e = 0.00, az = -0.01

pose: (0.46,-0.29,-0.86)	thetad = -0.86	e = 0.00, az = -0.00

pose: (0.47,-0.30,-0.87)	thetad = -0.86	e = 0.00, az = -0.00

pose: (0.48,-0.30,-0.87)	thetad = -0.87	e = 0.00, az = -0.00

pose: (0.48,-0.30,-0.87)	thetad = -0.87	e = 0.00, az = -0.00

pose: (0.50,-0.31,-0.87)	thetad = -0.87	e = 0.00, az = -0.00

pose: (0.50,-0.31,-0.87)	thetad = -0.87	e = 0.00, az = -0.00

pose: (0.51,-0.32,-0.87)	thetad = -0.87	e = -0.00, az = -0.01

pose: (0.52,-0.33,-0.87)	thetad = -0.88	e = -0.00, az = -0.01

pose: (0.53,-0.33,-0.87)	thetad = -0.88	e = -0.00, az = -0.01

pose: (0.53,-0.33,-0.87)	thetad = -0.88	e = -0.00, az = -0.01

pose: (0.54,-0.34,-0.88)	thetad = -0.88	e = -0.00, az = -0.01

pose: (0.55,-0.34,-0.88)	thetad = -0.88	e = -0.01, az = -0.02

pose: (0.56,-0.35,-0.88)	thetad = -0.88	e = -0.00, az = -0.01

pose: (0.56,-0.35,-0.88)	thetad = -0.89	e = -0.01, az = -0.02

pose: (0.57,-0.36,-0.88)	thetad = -0.89	e = -0.00, az = -0.02

pose: (0.58,-0.36,-0.89)	thetad = -0.89	e = -0.00, az = -0.02

